swimming_pool,website_source,address
Asser Levy,http://www.nycgovparks.org/facilities/recreationcenters/M164/schedule#Pool,"392 Asser Levy Place, NY"
Chelsea,http://www.nycgovparks.org/facilities/recreationcenters/M260/schedule#Pool,"430 W 25th St, NY, New York"
Gertrude Ederle,http://www.nycgovparks.org/facilities/recreationcenters/M063/schedule#Pool,"232 West 60th Street, NY"
Hansborough,http://www.nycgovparks.org/facilities/recreationcenters/M131/schedule#Pool,"35 West 134th Street, NY"
Tony Dapolito,http://www.nycgovparks.org/facilities/recreationcenters/M103/schedule#Pool,"1 Clarkson Street, NY"
Brownsville,http://www.nycgovparks.org/facilities/recreationcenters/B270/schedule#Pool,"1555 Linden Blvd, Brooklyn, NY"
Metropolitan,http://www.nycgovparks.org/facilities/recreationcenters/B085/schedule#Pool,"261 Bedford Ave, Brooklyn, NY"
St. Johns,http://www.nycgovparks.org/facilities/recreationcenters/B245/schedule#Pool,"1251 Prospect Place, Brooklyn, NY"
Flushing Meadows Corona Park,http://www.nycgovparks.org/facilities/recreationcenters/Q099/schedule#Pool,"Avery Avenue and 131 Street, Queens, NY"
Roy Wilkins,http://www.nycgovparks.org/facilities/recreationcenters/Q448/schedule#Pool,"177-01 Baisley blvd, NY"
Saint Marys,http://www.nycgovparks.org/facilities/recreationcenters/X045/schedule#Pool,"450 Saint Ann's Ave, Bronx, NY"
Recreation Center 54,http://www.nycgovparks.org/facilities/recreationcenters/M130/schedule#Pool,"348 East 54th St, NY"
